All CCC Companies;;End-of-month update at:;http://dripinvesting.org/Tools/Tools.htm;;;;;;;;;;;;;;Fundamental Data;;;;;Numbers in Blue directly from FinViz.com;;;;;;;(Brown=Yahoo Finance);;;;;;;Dividends Paid by Year;;;;;;;;;;;;;;;;;;;;;;;Percentage Increase by Year;;;;;;;;;;;;;;;;;Special Formulas;;;Dividend Growth Model;;;;;;;Technical Data;;;;
(and American Depository Receipts);;;;;;;;;Dates in Green (centered) indicate increase (by Ex-Div. Date) expected in next 2 months;;;;;;;;;;;Abbreviations:;;"EPS=Earnings Per Share; P/E=Price/Earnings Per Share; TTM=Trailing Twelve Months; MRQ=Most Recent Quarter,";;;;;;;;;;;;;;(excluding Special/Extra Dividends);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(see Notes tab);;;(based on Earnings Estimates, if available);;;;;;;;;;;
Note: This worksheet does not include the formulas in the Champions, Contenders, and Challengers worksheets;;;;;;;;;Dates in Red (right-aligned) indicate last increase more than a year ago (Ex-Div Date);;;;;;;;;;;;;"PEG=P/E divided by 5-yr future growth rate; FCF=Free Cash Flow, ROE=Return On Equity, TY=This Year; NY=Next Year";;;;;;;;;;;;;;*A/D=Acceleration/Deceleration (5-year average increase divided by 10-year average increase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Past Performance is No Guarantee of Future Results;;;;;;;;MMA=Moving Market Average;;;
5 or more straight years of higher dividends;;;;;;;;;Most Recent Dividend Increase Information;;;;;;;;Disclaimer: Although all figures are thought to be correct, no guarantee is expressed or implied.;;;;;;;;;;;;;;;;;;;;(DGR=Dividend Growth Rate);;;;;"# Column on right excludes amount normally paid in following year but accelerated; included next year (column on left)";;;;;;;;;;;;;;;;15 yrs;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;Mean;;;;;;;;;;;5-year Total;;;Current Price as % from:;;;
Standard Motor Products Inc.;SMP;Auto Parts;5;464;-;-;39.52;1.32;0.1100;0.1300;18.18;2-13-14;2-18-14;3-3-14;C03;;0.52;23.85;41.6 ;18.13;12;2.18;1.81;0.92;2.49;13.70;22.6 ;11.1 ;32.0 ;10.0 ;5 ;904;9.4;0.16;0.128;2.020 ;22.2;30.1;4.1;2.0 ;0.440;;0.360;0.280;;0.200;0.000;0.360;0.360;0.360;0.360;0.360;0.360;0.360;0.360;0.360;0.340;4.860;22.2;28.6;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.9;6.9;12.8;Consumer Discretionary;(12.7);5.4 ;63.5;0.48;0.53;0.59;0.64;0.71;2.95;7.5;1.66 ;31.9 ;(13.4);8.8 ;5.2 
Stanley Black & Decker;SWK;Tools/Security Products;47;23;Y;Y;93.64;2.22;0.5000;0.5200;4.00;9-3-14;9-5-14;9-16-14;C16;;2.08;53.33;48.6 ;24.01;12;3.90;2.24;1.31;2.07;8.70;17.2 ;11.8 ;3.6 ;10.7 ;16 ;14,669;0.9;0.61;2.628;1.401 ;10.0;13.9;9.5;6.8;1.980;;1.800;1.640;;1.340;1.300;1.260;1.220;1.180;1.140;1.080;1.030;0.990;0.940;0.900;0.870;18.670;10.0;9.8;22.4;3.1;3.2;3.3;3.4;3.5;5.6;4.9;4.0;5.3;4.4;3.4;6.2;5.0;Industrials;(12.3);11.7 ;74.9;2.18;2.40;2.64;2.90;3.19;13.30;14.2;1.55 ;27.1 ;(1.8);5.0 ;10.5 
Starbucks Corp.;SBUX;Restaurants;5;556;Y;Y;75.56;1.69;0.2600;0.3200;23.08;11-11-14;11-13-14;11-28-14;B28;;1.28;412.90;1002.0 ;243.74;9;0.31;13.58;3.53;11.21;16.30;(99.4);18.3 ;(52.9);18.0 ;27 ;56,761;2.5;0.40;n/a;n/a;23.6;35.2;n/a;n/a;0.890;;0.720;0.560;;0.360;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.530;23.6;28.6;55.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.7;16.1;Consumer Discretionary;n/a;n/a;37.0;0.90;0.99;1.09;1.20;1.32;5.49;7.3;0.89 ;12.0 ;(7.3);(0.1);1.7 
Starwood Hotels & Resorts Worldwide Inc.;HOT;Lodging;6;432;-;-;76.66;1.83;0.3375;0.3500;3.70;3-7-14;3-11-14;3-28-14;C28;Adj/Ann,Spec'14;1.40;46.82;129.7 ;25.64;12;2.99;2.66;2.43;4.63;17.20;22.6 ;15.2 ;16.8 ;9.6 ;33 ;14,605;0.3;0.55;0.503;1.193 ;8.0;65.1;8.4;7.1 ;1.350;;1.250;0.500;;0.300;0.200;0.900;0.900;0.840;0.681;0.681;0.681;0.681;0.649;0.551;0.487;10.652;8.0;150.0;66.7;50.0;0.0;0.0;7.1;23.3;0.0;0.0;0.0;5.0;17.6;13.3;24.4;39.9;Consumer Discretionary;(15.4);10.3 ;63.0;1.49;1.63;1.79;1.96;2.15;9.02;11.8;1.97 ;12.6 ;(11.0);(4.9);(2.0)
Starwood Property Trust Inc.;STWD;REIT-Diversified;6;434;-;-;22.56;8.51;0.3709;0.4800;29.41;3-27-14;3-31-14;4-15-14;A15;;1.92;91.00;(21.4);10.69;12;2.11;1.43;7.32;1.30;10.70;4.0 ;3.3 ;18.4 ;7.5 ;3 ;5,022;1.4;0.98;n/a;n/a;3.4;26.5;n/a;n/a;1.468;;1.419;1.371;;0.726;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.991;3.4;3.5;88.9;8903.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;642.8;2291.2;Financials;n/a;n/a;43.8;1.53;1.58;1.69;1.82;1.96;8.58;38.0;0.63 ;19.1 ;(4.4);0.0 ;(0.8)
Stepan Company;SCL;Cleaning Products;47;25;-;-;44.28;1.63;0.1700;0.1800;5.88;11-25-14;11-28-14;12-15-14;C15;;0.72;26.77;13.2 ;16.46;12;2.69;0.91;0.51;1.75;10.80;(8.9);28.1 ;12.6 ;18.0 ;2 ;987;1.6;0.40;0.704;1.618 ;12.1;9.9;8.9;5.5;0.650;;0.580;0.530;;0.490;0.450;0.425;0.413;0.403;0.393;0.386;0.381;0.369;0.354;0.326;0.306;6.455;12.1;9.4;8.2;8.9;5.9;3.0;2.5;2.5;1.6;1.3;3.4;4.2;8.4;6.5;5.6;3.3;Materials;(6.0);10.5 ;70.0;0.66;0.72;0.79;0.87;0.96;4.01;9.1;0.96 ;4.8 ;(33.5);(3.0);(17.8)
Steris Corp.;STE;Medical Equipment;10;338;-;-;61.80;1.49;0.2100;0.2300;9.52;8-22-14;8-26-14;9-23-14;C23;;0.92;45.10;115.2 ;30.29;3;2.04;3.03;2.20;3.44;11.90;(20.2);16.9 ;3.1 ;10.0 ;9 ;3,667;0.6;0.62;7.537;n/a;11.1;15.4;23.4;n/a;0.800;;0.720;0.640;;0.520;0.410;0.280;0.220;0.170;0.120;0.000;0.000;0.000;0.000;0.000;0.000;3.880;11.1;12.5;23.1;26.8;46.4;27.3;29.4;41.7;0.0;0.0;0.0;0.0;0.0;0.0;15.6;16.1;Health Care;(5.4);24.9 ;58.1;0.81;0.89;0.98;1.08;1.18;4.93;8.0;1.10 ;56.9 ;0.8 ;9.5 ;20.1 
StoneMor Partners LP;STON;MLP-Cemetaries;10;347;-;-;26.68;9.30;0.6100;0.6200;1.64;11-3-14;11-5-14;11-15-14;B15;&;2.48;n/a;n/a;n/a;12;-0.22;n/a;2.98;2.68;-2.90;(493.3);13.3 ;(34.1);13.0 ;2 ;777;1.5;1.01;n/a;n/a;1.7;2.3;2.4;n/a;2.385;;2.345;2.330;;2.230;2.220;2.120;2.030;1.925;1.900;0.000;0.000;0.000;0.000;0.000;0.000;19.485;1.7;0.6;4.5;0.5;4.7;4.4;5.5;1.3;0.0;0.0;0.0;0.0;0.0;0.0;1.7;2.0;Consumer Discretionary;n/a;11.7 ;21.9;2.41;2.65;2.91;3.21;3.53;14.71;55.1;0.62 ;29.0 ;(1.7);3.7 ;10.0 
Stryker Corp.;SYK;Medical Devices;21;127;-;-;87.53;1.39;0.2650;0.3050;15.09;12-27-13;12-31-13;1-31-14;A31;;1.22;72.19;197.3 ;51.79;12;1.69;6.02;3.48;3.84;7.20;(22.4);9.6 ;(1.1);8.6 ;33 ;33,114;0.1;0.46;n/a;0.790 ;24.7;20.9;26.3;33.3 ;1.060;;0.850;0.720;;0.600;0.500;0.330;0.220;0.110;0.090;0.070;0.060;0.050;0.040;0.033;0.030;4.763;24.7;18.1;20.0;20.0;51.5;50.0;100.0;22.2;28.6;16.7;20.0;25.0;23.1;8.3;30.6;22.4;Health Care;(24.1);27.7 ;60.5;1.07;1.17;1.27;1.38;1.50;6.40;7.3;0.96 ;24.8 ;0.3 ;5.9 ;8.0 
Suncor Energy Inc.;SU;Oil&Gas;8;377;-;-;35.54;1.99;0.1250;0.1765;41.22;11-29-13;12-3-13;12-24-13;C24;@ADR-Canada;0.71;30.70;(1.9);15.45;12;2.30;1.93;1.40;1.40;9.20;47.8 ;2.4 ;3.4 ;8.0 ;13 ;51,818;0.0;0.27;8.912;1.376 ;41.2;22.5;30.3;22.0 ;0.706;;0.500;0.436;;0.384;0.270;0.188;0.179;0.133;0.105;0.107;0.097;0.086;0.085;0.085;0.085;3.444;41.2;14.7;13.5;42.2;43.6;5.0;34.6;27.3;0.0;10.4;12.5;0.9;0.0;0.0;17.6;16.2;Energy;16.8 ;32.3 ;71.2;0.78;0.80;0.86;0.93;1.00;4.36;12.3;1.71 ;15.6 ;(17.8);(3.6);(4.0)
Sunoco Logistics Partners LP;SXL;MLP-Oil&Gas Pipelines;13;228;-;-;47.73;3.21;0.3650;0.3825;4.79;11-5-14;11-7-14;11-14-14;B14;&;1.53;108.51;65.9 ;33.85;12;1.41;4.61;0.58;1.83;5.50;(23.1);15.1 ;9.6 ;7.4 ;12 ;10,532;0.1;0.62;1.454;1.035 ;27.9;16.0;14.0;13.5 ;1.174;;0.918;0.805;;0.753;0.685;0.611;0.554;0.504;0.429;0.387;0.331;0.193;0.000;0.000;0.000;7.343;27.9;14.0;7.0;9.9;12.1;10.2;9.9;17.5;11.0;16.7;71.3;0.0;0.0;0.0;14.8;17.3;Energy;(16.7);17.2 ;57.9;1.19;1.30;1.40;1.50;1.61;7.01;14.7;0.54 ;46.0 ;(7.2);0.6 ;7.3 
Symetra Financial Corp.;SYA;Insurance;5;481;-;-;23.70;1.69;0.0900;0.1000;11.11;3-14-14;3-18-14;3-28-14;C28;$1.30 Special-11/21;0.40;18.02;(38.4);10.68;12;2.22;1.08;1.26;0.80;8.30;16.8 ;(1.7);70.7 ;9.9 ;10 ;2,747;0.9;0.13;n/a;n/a;21.4;31.4;n/a;n/a;0.340;;0.280;0.230;;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;21.4;21.7;53.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.9;14.9;Financials;n/a;n/a;60.1;0.37;0.38;0.42;0.46;0.50;2.12;9.0;1.15 ;36.0 ;(4.9);1.6 ;10.9 
Syngenta AG;SYT;Agriculture;13;218;-;-;62.00;3.67;2.0267;2.2759;12.29;5-2-14;5-6-14;6-30-14;Jun;Ann,ADR-Switz.;2.28;64.47;51.5 ;17.56;12;3.53;2.34;1.94;2.94;36.70;(11.2);7.4 ;3.8 ;7.5 ;0 ;28,713;0.0;0.48;4.237;0.505 ;17.3;21.6;16.1;31.9 ;2.027;;1.728;1.566;;1.128;1.074;0.961;0.619;0.517;0.423;0.273;0.127;0.096;0.000;0.000;0.000;10.537;17.3;10.3;38.8;5.1;11.7;55.1;19.9;22.2;55.1;114.1;32.2;0.0;0.0;0.0;27.3;30.1;Materials;2.2 ;19.8 ;63.1;2.05;2.20;2.36;2.54;2.73;11.88;19.2;1.13 ;5.6 ;(22.4);(5.1);(13.3)
Sysco Corp.;SYY;Food-Wholesale;44;30;N;Y;38.54;3.01;0.2800;0.2900;3.57;12-31-13;1-3-14;1-24-14;A24;;1.16;73.42;115.7 ;24.39;6;1.58;3.93;0.49;4.29;17.70;(5.4);7.8 ;(2.2);6.2 ;14 ;22,633;0.1;0.52;n/a;0.505 ;3.7;3.8;4.9;9.8;1.120;;1.080;1.040;;1.000;0.960;0.880;0.760;0.680;0.600;0.520;0.440;0.360;0.280;0.240;0.200;10.160;3.7;3.8;4.0;4.2;9.1;15.8;11.8;13.3;15.4;18.2;22.2;28.6;16.7;20.0;13.3;7.4;Consumer Staples;(16.4);8.0 ;56.9;1.13;1.22;1.29;1.38;1.46;6.48;16.8;0.73 ;23.9 ;(8.4);2.7 ;6.2 
T. Rowe Price Group;TROW;Financial Services;27;100;-;-;82.09;2.14;0.3800;0.4400;15.79;3-12-14;3-14-14;3-28-14;C28;;1.76;39.73;83.3 ;18.53;12;4.43;1.43;5.47;4.08;23.30;16.1 ;8.4 ;16.6 ;13.0 ;25 ;21,293;2.2;0.00;0.580;0.596 ;11.8;12.1;9.6;16.2;1.520;;1.360;1.240;;1.080;1.000;0.960;0.680;0.560;0.460;0.380;0.340;0.320;0.300;0.260;0.200;10.660;11.8;9.7;14.8;8.0;4.2;41.2;21.4;21.7;21.1;11.8;6.3;6.7;15.4;30.0;16.0;9.9;Financials;(6.8);11.8 ;73.9;1.67;1.81;1.99;2.19;2.41;10.09;12.3;1.39 ;14.4 ;(3.7);4.5 ;2.9 
TAL International Group Inc.;TAL;Rental/Leasing Services;5;473;-;-;43.13;6.68;0.7000;0.7200;2.86;2-27-14;3-3-14;3-24-14;C24;;2.88;77.84;4.1 ;11.66;12;3.70;1.17;2.29;2.09;18.50;9.8 ;2.1 ;31.3 ;10.0 ;13 ;1,466;0.4;4.13;0.342;n/a;14.0;27.3;10.7;n/a;2.680;;2.350;1.990;;1.300;0.040;1.613;1.425;0.450;0.000;0.000;0.000;0.000;0.000;0.000;0.000;11.848;14.0;18.1;53.1;3150.0;0.0;13.2;216.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;247.5;806.9;Industrials;5.7 ;17.4 ;56.0;2.94;3.01;3.31;3.64;4.00;16.89;39.2;1.70 ;14.5 ;(21.4);1.9 ;1.6 
Tanger Factory Outlet Centers;SKT;REIT-Outlet Stores;21;133;N;N;35.77;2.68;0.2250;0.2400;6.67;4-28-14;4-30-14;5-15-14;B15;;0.96;84.21;200.4 ;31.38;12;1.14;6.03;8.36;6.47;20.50;98.2 ;21.5 ;29.5 ;5.2 ;12 ;3,430;0.7;2.76;0.114;0.906 ;6.6;4.6;3.4;3.7 ;0.885;;0.830;0.794;;0.773;0.764;0.750;0.710;0.671;0.640;0.623;0.615;0.612;0.610;0.607;0.604;10.486;6.6;4.6;2.8;1.1;1.8;5.6;5.8;4.9;2.8;1.3;0.4;0.5;0.4;0.6;2.8;2.2;Financials;(25.3);6.0 ;46.9;0.97;1.07;1.13;1.19;1.25;5.60;15.7;0.40 ;17.0 ;(1.4);5.5 ;4.4 
Targa Resources Partners LP;NGLS;MLP-Oil&Gas Pipelines;8;384;-;-;61.08;5.11;0.7625;0.7800;2.30;7-24-14;7-28-14;8-14-14;B14;&;3.12;128.93;90.9 ;25.24;12;2.42;0.72;0.88;3.25;13.30;(0.8);5.1 ;(8.2);35.3 ;12 ;7,152;0.3;1.38;n/a;n/a;11.7;10.4;8.9;n/a;2.825;;2.530;2.258;;2.100;2.070;1.845;0.844;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;14.472;11.7;12.1;7.5;1.4;12.2;118.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.7;30.1;Energy;(11.2);14.0 ;49.9;2.85;3.00;3.30;3.63;3.99;16.76;27.4;0.88 ;33.7 ;(25.1);(10.0);(1.5)
Target Corp.;TGT;Retail-Discount;47;22;Y;Y;61.82;3.36;0.4300;0.5200;20.93;8-18-14;8-20-14;9-10-14;C10;;2.08;87.76;66.1 ;26.08;1;2.37;2.18;0.53;2.38;9.30;(32.1);19.8 ;1.4 ;12.0 ;23 ;39,177;0.1;0.86;15.262;1.080 ;19.7;23.4;21.4;19.8;1.580;;1.320;1.100;;0.840;0.680;0.600;0.520;0.440;0.360;0.300;0.260;0.240;0.220;0.210;0.200;8.870;19.7;20.0;31.0;23.5;13.3;15.4;18.2;22.2;20.0;15.4;8.3;9.1;4.8;5.0;16.1;7.2;Consumer Discretionary;(1.4);24.7 ;74.3;1.60;1.76;1.93;2.12;2.34;9.74;15.8;0.55 ;15.8 ;(5.9);0.3 ;4.8 
TC Pipelines LP;TCP;MLP-Oil&Gas Pipelines;15;193;-;-;62.35;5.39;0.8100;0.8400;3.70;8-1-14;8-5-14;8-14-14;B14;;3.36;128.74;77.3 ;23.89;12;2.61;6.18;11.36;2.96;16.40;(14.4);(1.7);(4.7);3.9 ;9 ;3,886;27.4;1.19;n/a;0.692 ;2.6;2.7;2.8;4.0 ;3.180;;3.100;3.040;;2.940;2.870;2.775;2.565;2.325;2.300;2.250;2.150;2.050;1.950;1.825;0.000;35.320;2.6;2.0;3.4;2.4;3.4;8.2;10.3;1.1;2.2;4.7;4.9;5.1;6.8;0.0;4.1;2.7;Energy;(15.7);8.2 ;27.9;3.21;3.24;3.37;3.50;3.64;16.96;27.2;0.34 ;52.0 ;(10.1);1.0 ;19.5 
TD Ameritrade Holding Corp.;AMTD;Financial Services;5;552;-;-;33.74;1.78;0.1200;0.1500;25.00;11-4-14;11-6-14;11-20-14;B20;;0.60;42.86;106.0 ;24.10;9;1.40;1.17;6.07;3.96;16.70;15.1 ;15.3 ;(1.7);20.6 ;21 ;18,472;1.4;0.25;n/a;n/a;44.4;98.3;n/a;n/a;0.390;;0.270;0.210;;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.920;44.4;28.6;320.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.1;82.0;Financials;n/a;n/a;57.3;0.43;0.47;0.52;0.57;0.63;2.62;7.8;1.42 ;28.4 ;(5.1);3.7 ;5.8 
Techne Corp.;TECH;Medical Devices;7;418;-;-;91.05;1.41;0.3100;0.3200;3.23;11-6-14;11-10-14;11-24-14;B24;;1.28;42.81;139.3 ;30.45;6;2.99;2.44;9.42;4.23;14.60;(1.6);6.3 ;1.5 ;12.5 ;5 ;3,370;0.2;0.02;24.719;n/a;6.1;4.8;37.1;n/a;1.210;;1.140;1.090;;1.050;1.010;0.250;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;5.750;6.1;4.6;3.8;4.0;304.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;78.0;Health Care;8.0 ;38.5 ;44.3;1.22;1.30;1.43;1.57;1.73;7.25;8.0;0.66 ;11.5 ;(6.3);(2.4);0.9 
Teekay LNG Partners LP;TGP;MLP-LNG Transport.;10;311;-;-;39.30;7.04;0.6750;0.6918;2.49;1-29-14;1-31-14;2-14-14;B14;ADR-Berm,US$;2.77;154.59;44.8 ;21.96;12;1.79;4.39;7.44;2.15;9.80;61.0 ;(2.5);73.0 ;5.0 ;7 ;3,038;0.0;1.75;0.060;n/a;1.7;4.4;4.4;n/a;2.700;;2.655;2.520;;2.370;2.280;2.180;1.985;1.800;0.649;0.000;0.000;0.000;0.000;0.000;0.000;19.139;1.7;5.4;6.3;3.9;4.6;9.8;10.3;177.6;0.0;0.0;0.0;0.0;0.0;0.0;15.7;45.0;Energy;(10.5);11.4 ;34.9;2.97;3.00;3.15;3.31;3.47;15.90;40.5;0.73 ;19.0 ;(14.3);(3.6);(4.3)
Teekay Offshore Partners LP;TOO;LNG Transport.;8;378;-;-;29.93;7.20;0.5253;0.5384;2.49;1-29-14;1-31-14;2-14-14;B14;Bermuda,US$;2.15;n/a;n/a;n/a;12;-0.09;n/a;2.57;3.83;-1.10;(27.3);67.1 ;23.3 ;6.0 ;7 ;2,564;4.9;3.81;0.207;n/a;2.5;3.7;4.8;n/a;2.088;;2.038;1.975;;1.875;1.800;1.650;1.135;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;12.561;2.5;3.2;5.3;4.2;9.1;45.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;11.5;Energy;n/a;12.0 ;24.5;2.11;2.32;2.46;2.61;2.76;12.26;41.0;0.74 ;21.3 ;(17.2);(7.0);(7.9)
Telenor ASA;TELNY;Telecommunications;5;502;-;-;67.34;5.22;3.0723;3.5134;14.36;5-15-14;5-19-14;6-4-14;Jun;Norway,Annual;3.51;178.34;126.6 ;34.18;12;1.97;n/a;2.05;3.38;n/a;n/a;n/a;n/a;n/a;0 ;33,750;n/a;n/a;n/a;n/a;25.1;39.4;8.6;n/a;3.072;;2.455;2.113;;1.135;0.000;2.032;1.234;0.967;0.696;0.000;0.000;0.000;0.000;0.000;0.000;13.705;25.1;16.2;86.1;0.0;0.0;64.6;27.6;38.9;0.0;0.0;0.0;0.0;0.0;0.0;18.5;26.7;Telecommunications;(20.3);13.8 ;37.9;3.16;3.26;3.36;3.46;3.56;16.80;24.9;n/a;18.1 ;(10.7);3.6 ;(1.9)
Telephone & Data Sys.;TDS;Telecommunications;40;55;N;N;25.64;2.09;0.1275;0.1340;5.10;3-12-14;3-14-14;3-31-14;C31;;0.54;n/a;n/a;n/a;12;-0.19;n/a;0.58;0.68;-0.50;72.0 ;53.5 ;13.0 ;(4.0);6 ;2,775;0.1;0.42;0.343;0.874 ;4.1;4.6;4.5;5.1;0.510;;0.490;0.470;;0.445;0.430;0.410;0.390;0.370;0.350;0.330;0.310;0.290;0.270;0.250;0.230;5.545;4.1;4.3;5.6;3.5;4.9;5.1;5.4;5.7;6.1;6.5;6.9;7.4;8.0;8.7;5.9;1.5;Telecommunications;n/a;6.6 ;47.4;0.56;0.62;0.62;0.63;0.64;3.07;12.0;1.13 ;22.3 ;(16.6);3.5 ;1.3 
TELUS Corp.;TU;Telecommunications;5;538;-;-;35.85;3.80;0.3203;0.3410;6.48;9-8-14;9-10-14;10-1-14;A01;@ADR-Canada;1.36;68.20;55.4 ;17.93;12;2.00;2.23;2.13;3.03;17.80;9.1 ;10.9 ;4.1 ;8.1 ;10 ;22,053;4.6;1.14;2.005;0.495 ;8.8;11.2;8.2;16.6 ;1.281;;1.177;1.091;;0.933;0.808;0.863;0.678;0.487;0.375;0.300;0.276;0.300;0.700;0.000;0.000;9.266;8.8;7.9;16.9;15.5;0.0;27.4;39.3;29.7;25.0;8.9;0.0;0.0;0.0;0.0;12.8;12.7;Telecommunications;(5.9);12.0 ;62.5;1.40;1.54;1.66;1.79;1.94;8.33;23.2;0.41 ;11.9 ;(6.1);1.8 ;2.1 
Tennant Company;TNC;Machinery;43;36;N;N;73.73;1.09;0.1800;0.2000;11.11;5-28-14;5-30-14;6-16-14;C16;;0.80;34.48;162.8 ;31.78;12;2.32;2.54;1.69;4.89;16.20;(1.8);21.5 ;30.3 ;12.5 ;5 ;1,355;1.5;0.10;0.222;1.214 ;4.3;6.9;6.7;5.5;0.720;;0.690;0.680;;0.590;0.530;0.520;0.480;0.460;0.440;0.430;0.420;0.410;0.400;0.390;0.380;7.540;4.3;1.5;15.3;11.3;1.9;8.3;4.3;4.5;2.3;2.4;2.4;2.5;2.6;2.6;4.7;3.9;Industrials;(24.0);7.8 ;62.8;0.73;0.80;0.88;0.97;1.06;4.44;6.0;0.97 ;30.2 ;(4.9);7.7 ;10.3 
Territorial Bancorp;TBNK;Banking;5;555;-;-;21.48;2.98;0.1500;0.1600;6.67;11-11-14;11-13-14;11-26-14;B26;&;0.64;42.11;(24.0);14.13;12;1.52;3.53;3.66;0.92;6.80;2.8 ;4.0 ;17.0 ;4.0 ;3 ;212;5.2;0.00;n/a;n/a;18.2;29.4;n/a;n/a;0.520;;0.440;0.340;;0.240;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.540;18.2;29.4;41.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4;13.0;Financials;n/a;n/a;43.4;0.53;0.56;0.58;0.60;0.63;2.89;13.5;0.25 ;10.6 ;(8.8);3.6 ;2.9 
TESSCO Technologies Inc.;TESS;Technology-Hardware;6;430;-;-;31.75;2.52;0.1800;0.2000;11.11;1-29-14;2-2-14;2-19-14;B19;;0.80;46.24;34.9 ;18.35;3;1.73;1.22;0.46;2.23;12.60;(9.8);15.1 ;18.8 ;15.0 ;3 ;264;21.7;0.02;n/a;n/a;4.3;25.2;n/a;n/a;0.720;;0.690;0.500;;0.367;0.133;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.410;4.3;38.0;36.4;174.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.1;45.3;Information Tech;n/a;n/a;53.4;0.73;0.80;0.88;0.97;1.06;4.44;14.0;1.17 ;13.1 ;(22.9);2.5 ;(2.4)
Teva Pharmaceutical Industries;TEVA;Drugs;14;197;Y;Y;56.47;2.26;0.2585;0.3195;23.60;11-18-13;11-20-13;12-2-13;C02;@ADR-Israel;1.28;42.04;29.8 ;18.58;12;3.04;22.65;2.65;2.04;11.30;(33.8);(0.4);14.7 ;0.8 ;26 ;54,500;0.0;0.46;1.395;0.895 ;23.6;19.5;20.5;22.9 ;1.278;;1.034;0.901;;0.748;0.605;0.503;0.385;0.306;0.269;0.201;0.163;0.091;0.065;0.041;0.028;6.616;23.6;14.8;20.5;23.6;20.3;30.6;25.8;13.8;34.2;23.4;79.6;39.8;57.0;49.3;32.6;17.7;Health Care;4.2 ;22.8 ;60.7;1.29;1.30;1.31;1.33;1.34;6.57;11.6;0.64 ;60.4 ;(0.4);7.3 ;11.9 
Texas Instruments;TXN;Technology-Hardware;11;305;N;Y;49.66;2.74;0.3000;0.3400;13.33;10-29-14;10-31-14;11-17-14;B17;;1.36;59.65;120.7 ;21.78;12;2.28;2.18;4.14;5.03;23.40;26.5 ;14.0 ;5.8 ;10.0 ;35 ;53,015;0.3;0.44;3.646;0.734 ;50.7;29.7;21.1;28.8 ;1.070;;0.710;0.560;;0.490;0.450;0.410;0.300;0.130;0.105;0.089;0.085;0.085;0.085;0.085;0.085;4.739;50.7;26.8;14.3;8.9;9.8;36.7;130.8;23.8;18.0;4.7;0.0;0.0;0.0;0.0;23.2;33.3;Information Tech;2.1 ;23.9 ;72.1;1.18;1.29;1.42;1.57;1.72;7.19;14.5;1.24 ;25.6 ;1.3 ;6.1 ;8.5 
Texas Pacific Land Trust;TPL;Real Estate Develop.;11;283;-;-;163.25;0.17;0.2500;0.2700;8.00;3-4-14;3-6-14;3-14-14;Mar;;0.27;6.72;876.5 ;40.61;12;4.02;n/a;25.26;52.83;167.10;43.6 ;0.0 ;24.4 ;n/a;0 ;1,379;0.9;0.00;0.278;0.563 ;8.7;7.7;6.8;12.1 ;0.250;#;0.230;0.210;;0.200;0.190;0.180;0.160;0.130;0.110;0.100;0.080;0.080;0.080;0.080;0.080;2.160;8.7;9.5;5.0;5.3;5.6;12.5;23.1;18.2;10.0;25.0;0.0;0.0;0.0;0.0;8.8;8.1;Financials;(33.7);7.0 ;49.5;0.28;0.28;0.28;0.29;0.30;1.43;0.9;1.10 ;85.8 ;(32.5);(11.3);5.6 
